station,prev_train,next_train,gap_s,tracking_min_s,status
站10,T24,T25,144.0,105,Pass
站1,T02,T04,288.0,105,Pass
站1,T04,T06,288.0,105,Pass
站1,T06,T08,288.0,105,Pass
站1,T08,T10,288.0,105,Pass
站1,T10,T12,288.0,105,Pass
站1,T12,T14,288.0,105,Pass
站1,T14,T16,288.0,105,Pass
站1,T16,T18,288.0,105,Pass
站1,T18,T20,288.0,105,Pass
站1,T20,T22,288.0,105,Pass
站1,T22,T24,288.0,105,Pass
站2,T02,T04,288.0,105,Pass
站2,T04,T06,288.0,105,Pass
站2,T06,T08,288.0,105,Pass
站2,T08,T10,288.0,105,Pass
站2,T10,T12,288.0,105,Pass
站2,T12,T14,288.0,105,Pass
站2,T14,T16,288.0,105,Pass
站2,T16,T18,288.0,105,Pass
站2,T18,T20,288.0,105,Pass
站2,T20,T22,288.0,105,Pass
站2,T22,T24,288.0,105,Pass
站3,T02,T04,288.0,105,Pass
站3,T04,T06,288.0,105,Pass
站3,T06,T08,288.0,105,Pass
站3,T08,T10,288.0,105,Pass
站3,T10,T12,288.0,105,Pass
站3,T12,T14,288.0,105,Pass
站3,T14,T16,288.0,105,Pass
站3,T16,T18,288.0,105,Pass
站3,T18,T20,288.0,105,Pass
站3,T20,T22,288.0,105,Pass
站3,T22,T24,288.0,105,Pass
站11,T02,T04,288.0,105,Pass
站11,T04,T06,288.0,105,Pass
站11,T06,T08,288.0,105,Pass
站11,T08,T10,288.0,105,Pass
站11,T10,T12,288.0,105,Pass
站11,T12,T14,288.0,105,Pass
站11,T14,T16,288.0,105,Pass
站11,T16,T18,288.0,105,Pass
站11,T18,T20,288.0,105,Pass
站11,T20,T22,288.0,105,Pass
站11,T22,T24,288.0,105,Pass
站12,T02,T04,288.0,105,Pass
站12,T04,T06,288.0,105,Pass
站12,T06,T08,288.0,105,Pass
站12,T08,T10,288.0,105,Pass
站12,T10,T12,288.0,105,Pass
站12,T12,T14,288.0,105,Pass
站12,T14,T16,288.0,105,Pass
站12,T16,T18,288.0,105,Pass
站12,T18,T20,288.0,105,Pass
站12,T20,T22,288.0,105,Pass
站12,T22,T24,288.0,105,Pass
