train,type,station_no,station,arrival_s,departure_s,arrival,departure,dwell_s,served
T08,大交路,8,站8,1978.4,1998.4,07:32:58,07:33:18,20,Y
T08,大交路,9,站9,2133.4,2153.4,07:35:33,07:35:53,20,Y
T08,大交路,10,站10,2258.4,2278.4,07:37:38,07:37:58,20,Y
T08,大交路,11,站11,2398.4,2418.4,07:39:58,07:40:18,20,Y
T08,大交路,12,站12,2518.4,2538.4,07:41:58,07:42:18,20,Y
T09,小交路,4,站4,1557.0,1577.0,07:25:57,07:26:17,20,Y
T09,小交路,5,站5,1682.0,1702.0,07:28:02,07:28:22,20,Y
T09,小交路,6,站6,1842.0,1862.0,07:30:42,07:31:02,20,Y
T09,小交路,7,站7,1987.0,2007.4,07:33:07,07:33:27,20.4,Y
T09,小交路,8,站8,2122.4,2142.4,07:35:22,07:35:42,20,Y
T09,小交路,9,站9,2277.4,2297.4,07:37:57,07:38:17,20,Y
T09,小交路,10,站10,2402.4,2422.4,07:40:02,07:40:22,20,Y
T10,大交路,1,站1,1296.0,1316.0,07:21:36,07:21:56,20,Y
T10,大交路,2,站2,1431.0,1451.0,07:23:51,07:24:11,20,Y
T10,大交路,3,站3,1551.0,1571.0,07:25:51,07:26:11,20,Y
T10,大交路,4,站4,1701.0,1721.0,07:28:21,07:28:41,20,Y
T10,大交路,5,站5,1826.0,1846.0,07:30:26,07:30:46,20,Y
T10,大交路,6,站6,1986.0,2006.0,07:33:06,07:33:26,20,Y
T10,大交路,7,站7,2131.0,2151.4,07:35:31,07:35:51,20.4,Y
T10,大交路,8,站8,2266.4,2286.4,07:37:46,07:38:06,20,Y
T10,大交路,9,站9,2421.4,2441.4,07:40:21,07:40:41,20,Y
T10,大交路,10,站10,2546.4,2566.4,07:42:26,07:42:46,20,Y
T10,大交路,11,站11,2686.4,2706.4,07:44:46,07:45:06,20,Y
T10,大交路,12,站12,2806.4,2826.4,07:46:46,07:47:06,20,Y
T11,小交路,4,站4,1845.0,1865.0,07:30:45,07:31:05,20,Y
T11,小交路,5,站5,1970.0,1990.0,07:32:50,07:33:10,20,Y
T11,小交路,6,站6,2130.0,2150.0,07:35:30,07:35:50,20,Y
T11,小交路,7,站7,2275.0,2295.4,07:37:55,07:38:15,20.4,Y
T11,小交路,8,站8,2410.4,2430.4,07:40:10,07:40:30,20,Y
T11,小交路,9,站9,2565.4,2585.4,07:42:45,07:43:05,20,Y
T11,小交路,10,站10,2690.4,2710.4,07:44:50,07:45:10,20,Y
T12,大交路,1,站1,1584.0,1604.0,07:26:24,07:26:44,20,Y
T12,大交路,2,站2,1719.0,1739.0,07:28:39,07:28:59,20,Y
T12,大交路,3,站3,1839.0,1859.0,07:30:39,07:30:59,20,Y
T12,大交路,4,站4,1989.0,2009.0,07:33:09,07:33:29,20,Y
T12,大交路,5,站5,2114.0,2134.0,07:35:14,07:35:34,20,Y
T12,大交路,6,站6,2274.0,2294.0,07:37:54,07:38:14,20,Y
T12,大交路,7,站7,2419.0,2439.4,07:40:19,07:40:39,20.4,Y
T12,大交路,8,站8,2554.4,2574.4,07:42:34,07:42:54,20,Y
T12,大交路,9,站9,2709.4,2729.4,07:45:09,07:45:29,20,Y
T12,大交路,10,站10,2834.4,2854.4,07:47:14,07:47:34,20,Y
T12,大交路,11,站11,2974.4,2994.4,07:49:34,07:49:54,20,Y
T12,大交路,12,站12,3094.4,3114.4,07:51:34,07:51:54,20,Y
T13,小交路,4,站4,2133.0,2153.0,07:35:33,07:35:53,20,Y
